rxnorm_id,rxnorm_name,rxnorm_id,rxnorm_name
1655928,"ivacaftor 125 MG / lumacaftor 200 MG Oral Tablet",1655922,lumacaftor
1655928,"ivacaftor 125 MG / lumacaftor 200 MG Oral Tablet",1243041,ivacaftor
1745280,"norepinephrine 1 MG/ML Injection",7512,norepinephrine
197785,"hydrocortisone 2.5 % Topical Lotion",5492,hydrocortisone
880649,"dexAMETHasone 3 MG/ML Injectable Solution",3264,dexamethasone
897309,"Atriplex polycarpa pollen extract 100 MG/ML Injectable Solution",897304,"allscale pollen extract"
379804,"glipizide 2.5 MG Oral Tablet",4821,glipizide
2672922,"ferrous bisglycinate 36.5 MG Oral Tablet",1102188,"ferrous bisglycinate"
220074,"Sudafed Sinus",161,acetaminophen
220074,"Sudafed Sinus",8896,pseudoephedrine
573961,"ibuprofen 200 MG [Anadin Ibuprofen]",5640,ibuprofen
2103177,"lorlatinib 100 MG Oral Tablet",2103164,lorlatinib
402943,Starlix,274332,nateglinide
1299994,"Siberian elm pollen extract 0.1 GM/ML Injectable Solution",1299981,"Siberian elm pollen extract"
2602774,"{112 (treprostinil 0.032 MG Inhalation Powder [Tyvaso]) / 112 (treprostinil 0.048 MG Inhalation Powder [Tyvaso]) } Pack [Tyvaso 32-48 MCG Maintenance Pack]",343048,treprostinil
1737459,"pamidronate disodium 30 MG Injection",11473,pamidronate
387080,"dexAMETHasone 8 MG/ML Injectable Solution",3264,dexamethasone
852232,"Australian pine pollen extract 50 MG/ML Injectable Solution",852229,"Australian pine pollen extract"
835829,"testosterone cypionate 100 MG/ML Injectable Solution",10379,testosterone
901360,"house dust allergenic extract 100 MG/ML Injectable Solution",852519,"house dust allergenic extract"
905482,"shrimp extract 0.05 GM/ML Injectable Solution",892592,"shrimp allergenic extract"
313988,"furosemide 40 MG Oral Tablet",4603,furosemide
483445,"pregabalin 200 MG",187832,pregabalin
564064,"metyraPONE 250 MG [Metopirone]",6923,metyrapone
977883,"amiloride hydrochloride 5 MG / HCTZ 50 MG Oral Tablet",644,amiloride
977883,"amiloride hydrochloride 5 MG / HCTZ 50 MG Oral Tablet",5487,hydrochlorothiazide
197734,"gallium nitrate 25 MG/ML Injectable Solution",1310124,gallium
312172,"oxygen 99 % Gas for Inhalation",7806,oxygen
476556,"emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG (equivalent to tenofovir disoproxil 245 MG) Oral Tablet",276237,emtricitabine
829877,Trisenox,18330,"arsenic trioxide"
896205,"wormwood sage pollen extract 10000 UNT/ML Injectable Solution",852007,"wormwood sage pollen extract"
1359031,"{21 (ethinyl estradiol 0.03 MG / norethindrone acetate 1.5 MG Oral Tablet) } Pack [Loestrin 1.5/30 21 Day]",7514,norethindrone
2056472,"levothyroxine sodium 0.075 MG/ML Oral Solution",10582,levothyroxine
2262441,Brukinsa,2262435,zanubrutinib
861021,"metFORMIN HCl 625 MG Oral Tablet",6809,metformin
892678,"morphine sulfate 30 MG Rectal Suppository",7052,morphine
992432,"promethazine HCl 6.25 MG per 5 ML Oral Syrup",8745,promethazine
216586,Diastat,3322,diazepam
310376,"fluorometholone 0.25 % Ophthalmic Suspension",4491,fluorometholone
895498,"Canis lupus familiaris hair extract 20 MG/ML Injectable Solution",895495,"dog hair extract"
895708,"red alder pollen extract 20000 UNT/ML Injectable Solution",851914,"red alder pollen extract"
2121758,"solriamfetol 150 MG Oral Tablet",2121751,solriamfetol
2257297,"trastuzumab-anns 150 MG Injection",224905,trastuzumab
310003,"dofetilide 125 MCG Oral Capsule",49247,dofetilide
1650030,"doxycycline monohydrate 25 MG in 5 mL Oral Suspension",3640,doxycycline
905172,"protriptyline hydrochloride 5 MG Oral Tablet",8886,protriptyline
2121766,"testosterone undecanoate 158 MG Oral Capsule",10379,testosterone
541043,Oxynorm,7804,oxycodone
749207,Renvela,214824,sevelamer
1191256,"fluocinolone acetonide 0.025 % Topical Ointment",25126,fluocinolone
197980,"metyrosine 250 MG Oral Capsule",266604,metyrosine
991486,"codeine phosphate 10 MG / promethazine HCl 6.25 MG in 5 mL Oral Solution",2670,codeine
309686,"dexamethasone 0.5 MG per 5 ML Oral Solution",3264,dexamethasone
861783,"pioglitazone 15 MG / metFORMIN HCl 500 MG Oral Tablet",33738,pioglitazone
861783,"pioglitazone 15 MG / metFORMIN HCl 500 MG Oral Tablet",6809,metformin
1000395,"{28 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 2.5 MG Oral Tablet) } Pack",4099,"estrogens, conjugated (USP)"
1000395,"{28 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 2.5 MG Oral Tablet) } Pack",6691,medroxyprogesterone
197418,"bumetanide 1 MG Oral Tablet",1808,bumetanide
831391,"miconazole nitrate 0.25 % / petrolatum, white 81.35 % / zinc oxide 15 % Topical Ointment",8091,petrolatum
831391,"miconazole nitrate 0.25 % / petrolatum, white 81.35 % / zinc oxide 15 % Topical Ointment",11423,"zinc oxide"
831391,"miconazole nitrate 0.25 % / petrolatum, white 81.35 % / zinc oxide 15 % Topical Ointment",6932,miconazole
892345,"morphine sulfate 30 MG Extended Release Oral Capsule",7052,morphine
1049635,"acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tablet",161,acetaminophen
1094377,"coffee bean allergenic extract 50 MG/ML Injectable Solution",891727,"coffee bean allergenic extract"
1743549,"oxacillin 2000 MG Injection",7773,oxacillin
311702,"midazolam 5 MG/ML Injectable Solution",6960,midazolam
687043,"amphetamine aspartate 3.125 MG / amphetamine sulfate 3.125 MG / dextroamphetamine saccharate 3.125 MG / dextroamphetamine sulfate 3.125 MG Oral Tablet",725,amphetamine
687043,"amphetamine aspartate 3.125 MG / amphetamine sulfate 3.125 MG / dextroamphetamine saccharate 3.125 MG / dextroamphetamine sulfate 3.125 MG Oral Tablet",3288,dextroamphetamine
1666338,"buprenorphine (as buprenorphine hydrochloride) 2.9 MG / naloxone (as naloxone hydrochloride dihydrate) 0.71 MG Sublingual Tablet",7242,naloxone
2104336,"cenegermin-bkbj 0.02 MG/ML Ophthalmic Solution",2104332,cenegermin
892283,"bluefish allergenic extract 100 MG/ML Injectable Solution",892181,"bluefish allergenic extract"
1649425,"doxycycline hyclate 75 MG Oral Tablet",3640,doxycycline
1721476,"ampicillin 2000 MG Injection",733,ampicillin
898353,"amlodipine 5 MG / benazepril hydrochloride 10 MG Oral Capsule",17767,amlodipine
1606337,"asenapine (as asenapine maleate) 2.5 MG Sublingual Tablet",784649,asenapine
198241,"temazepam 15 MG Oral Capsule",10355,temazepam
1040055,Nuedexta,3289,dextromethorphan
1040055,Nuedexta,9068,quinidine
314268,"tazarotene 0.5 MG/ML Topical Cream",83947,tazarotene
402011,"risperiDONE 37.5 MG Injection",35636,risperidone
833008,"desmopressin acetate 0.2 MG Oral Tablet",3251,desmopressin
857174,"FNP Sodium 20 MG / HCTZ 12.5 MG Oral Tablet",5487,hydrochlorothiazide
857174,"FNP Sodium 20 MG / HCTZ 12.5 MG Oral Tablet",50166,fosinopril
901381,"sesame seed allergenic extract 100 MG/ML Injectable Solution",901199,"sesame seed allergenic extract"
1011040,"okra allergenic extract 100 MG/ML Injectable Solution",1011021,"okra allergenic extract"
1442163,"fenofibrate 30 MG Oral Capsule",8703,fenofibrate
2280761,"{24 (ethinyl estradiol 0.02 MG / norethindrone acetate 1 MG Chewable Tablet) / 4 (ferrous fumarate 75 MG Oral Tablet) } Pack [Charlotte 24 Fe Chewable 28 Day]",7514,norethindrone
2280761,"{24 (ethinyl estradiol 0.02 MG / norethindrone acetate 1 MG Chewable Tablet) / 4 (ferrous fumarate 75 MG Oral Tablet) } Pack [Charlotte 24 Fe Chewable 28 Day]",24941,"ferrous fumarate"
2280761,"{24 (ethinyl estradiol 0.02 MG / norethindrone acetate 1 MG Chewable Tablet) / 4 (ferrous fumarate 75 MG Oral Tablet) } Pack [Charlotte 24 Fe Chewable 28 Day]",4124,"ethinyl estradiol"
309594,"cyanocobalamin 1000 MCG/ML Injectable Solution",11248,"vitamin B12"
729455,"amLODIPine / valsartan",17767,amlodipine
895922,"Amaranthus spinosus pollen extract 50 MG/ML Injectable Solution",895919,"spiny pigweed pollen extract"
896762,"labetalol hydrochloride 200 MG Oral Tablet",6185,labetalol
1547550,Keytruda,1547545,pembrolizumab
1043675,"Juniperus ashei pollen extract 10,000 UNT/ML Injectable Solution",852581,"mountain cedar pollen extract"
1044427,"APAP 300 MG / hydrocodone bitartrate 10 MG per 15 ML Oral Solution",5489,hydrocodone
1044427,"APAP 300 MG / hydrocodone bitartrate 10 MG per 15 ML Oral Solution",161,acetaminophen
2602355,Byooviz,595060,ranibizumab
2624719,"PHENobarbital sodium 100 MG Injection",8134,phenobarbital
670026,"darunavir (as darunavir ethanolate) 600 MG Oral Tablet",460132,darunavir
897993,"Bassia scoparia pollen extract 10,000 UNT/ML Injectable Solution",852593,"burning bush pollen extract"
1359030,"Junel 1.5/30 21 Day Pack",4124,"ethinyl estradiol"
1359030,"Junel 1.5/30 21 Day Pack",7514,norethindrone
1359134,"Tilia Fe 28 Day Pack",24941,"ferrous fumarate"
1359134,"Tilia Fe 28 Day Pack",4124,"ethinyl estradiol"
309047,"cefadroxil 1000 MG Oral Tablet",2177,cefadroxil
886662,"flecainide acetate 50 MG Oral Tablet",4441,flecainide
199119,"omeprazole 10 MG Delayed Release Oral Capsule",7646,omeprazole
485489,"temazepam 22.5 MG Oral Capsule",10355,temazepam
1423767,"nimodipine 60 MG per 20 ML Oral Solution",7426,nimodipine
905051,"cricket allergenic extract 50 MG/ML Injectable Solution",973447,"cricket allergenic extract"
596930,"DULoxetine 30 MG (as DULoxetine HCl 33.7 MG) Delayed Release Oral Capsule",72625,duloxetine
225882,"Erythroped SF",4053,erythromycin
2283536,"{14 (cenobamate 100 MG Oral Tablet [Xcopri]) / 14 (cenobamate 50 MG Oral Tablet [Xcopri]) } Pack [Xcopri Titration Pack - 50 MG (14), 100 MG (14) 28 Count]",2265690,cenobamate
834046,"penicillin V potassium 25 MG/ML Oral Solution",7984,"penicillin V"
896983,"labetalol hydrochloride 400 MG Oral Tablet",6185,labetalol
284904,Trizivir,11413,zidovudine
1359132,"Eth estra-Noreth Ac 0.02-1 MG (5) Oral Tablet / Eth estra-Noreth Ac 0.03-1 MG (7) Oral Tablet / Eth estra-Noreth Ac 0.035-1 MG (9) Oral Tablet / Ferr fum 75 MG (7) Oral Tablet 28 Day Pack",4124,"ethinyl estradiol"
1359132,"Eth estra-Noreth Ac 0.02-1 MG (5) Oral Tablet / Eth estra-Noreth Ac 0.03-1 MG (7) Oral Tablet / Eth estra-Noreth Ac 0.035-1 MG (9) Oral Tablet / Ferr fum 75 MG (7) Oral Tablet 28 Day Pack",24941,"ferrous fumarate"
1359132,"Eth estra-Noreth Ac 0.02-1 MG (5) Oral Tablet / Eth estra-Noreth Ac 0.03-1 MG (7) Oral Tablet / Eth estra-Noreth Ac 0.035-1 MG (9) Oral Tablet / Ferr fum 75 MG (7) Oral Tablet 28 Day Pack",7514,norethindrone
2467537,"baloxavir marboxil 40 MG Granules for Oral Suspension",2099995,"baloxavir marboxil"
854916,"bisoprolol fumarate 2.5 MG / HCTZ 6.25 MG Oral Tablet",5487,hydrochlorothiazide
901477,"sheep sorrel pollen extract 40000 UNT/ML Injectable Solution",852213,"sheep sorrel pollen extract"
876064,"ursodiol 250 MG [Ursofalk]",62427,ursodeoxycholate
1298799,"isoxsuprine HCl 20 MG Oral Tablet",6066,isoxsuprine
197784,"hydrocortisone 2 % Topical Lotion",5492,hydrocortisone
1543553,"Nikki 28 Day Pack",4124,"ethinyl estradiol"
1543553,"Nikki 28 Day Pack",11636,drospirenone
1543553,"Nikki 28 Day Pack",748794,"inert ingredients"
852279,"Gambels oak pollen extract 50 MG/mL Injectable Solution",852276,"Gambels oak pollen extract"
1094908,Pen-Aqueous,7980,"penicillin G"
1722349,"meloxicam 5 MG Oral Capsule",41493,meloxicam
197660,"estrogens, conjugated (USP) 0.3 MG Oral Tablet",4099,"estrogens, conjugated (USP)"
643019,"ARIPiprazole 10 MG Disintegrating Oral Tablet",89013,aripiprazole
309086,"ceftibuten (as ceftibuten dihydrate) 400 mg Oral Capsule",20492,ceftibuten
979464,"hydrochlorothiazide 12.5 MG / losartan potassium 100 MG Oral Tablet",5487,hydrochlorothiazide
979464,"hydrochlorothiazide 12.5 MG / losartan potassium 100 MG Oral Tablet",52175,losartan
1012171,"Rhizopus arrhizus var. arrhizus extract 0.05 GM/ML Injectable Solution",314443,"Rhizopus arrhizus allergenic extract"
1014309,"sweet gum pollen extract 10000 UNT/ML Injectable Solution",852627,"sweet gum pollen extract"
1359124,"{28 (estradiol 0.5 MG / norethindrone acetate 0.1 MG Oral Tablet) } Pack",4083,estradiol
1359124,"{28 (estradiol 0.5 MG / norethindrone acetate 0.1 MG Oral Tablet) } Pack",7514,norethindrone
284008,"travoprost 40 MCG/ML Ophthalmic Solution",283809,travoprost
1722934,"meropenem 500 MG Injection",29561,meropenem
