rxnorm_id,rxnorm_name,meddra_id,meddra_name
349407,"treprostinil 1 MG/ML Injectable Solution",10030095,Oedema
349407,"treprostinil 1 MG/ML Injectable Solution",10025482,Malaise
349407,"treprostinil 1 MG/ML Injectable Solution",10037660,Pyrexia
349407,"treprostinil 1 MG/ML Injectable Solution",10037087,Pruritus
349407,"treprostinil 1 MG/ML Injectable Solution",10023084,Itching
349407,"treprostinil 1 MG/ML Injectable Solution",10037844,Rash
349407,"treprostinil 1 MG/ML Injectable Solution",10028735,"Nasal congestion"
349407,"treprostinil 1 MG/ML Injectable Solution",10013082,Discomfort
349407,"treprostinil 1 MG/ML Injectable Solution",10030973,"Oral discomfort"
349407,"treprostinil 1 MG/ML Injectable Solution",10013082,Discomfort
349407,"treprostinil 1 MG/ML Injectable Solution",10034851,"Pharynx discomfort"
349407,"treprostinil 1 MG/ML Injectable Solution",10019211,Headache
349407,"treprostinil 1 MG/ML Injectable Solution",10013968,Dyspnoea
349407,"treprostinil 1 MG/ML Injectable Solution",10011224,Cough
349407,"treprostinil 1 MG/ML Injectable Solution",10022437,Insomnia
349407,"treprostinil 1 MG/ML Injectable Solution",10016322,"Feeling abnormal"
349407,"treprostinil 1 MG/ML Injectable Solution",10013082,Discomfort
349407,"treprostinil 1 MG/ML Injectable Solution",10019194,"Head discomfort"
349407,"treprostinil 1 MG/ML Injectable Solution",10013573,Dizziness
349407,"treprostinil 1 MG/ML Injectable Solution",10019211,Headache
349407,"treprostinil 1 MG/ML Injectable Solution",10028411,Myalgia
349407,"treprostinil 1 MG/ML Injectable Solution",10028391,"Musculoskeletal pain"
349407,"treprostinil 1 MG/ML Injectable Solution",10033425,"Pain in extremity"
349407,"treprostinil 1 MG/ML Injectable Solution",10033433,"Pain in jaw"
349407,"treprostinil 1 MG/ML Injectable Solution",10000087,"Abdominal pain upper"
349407,"treprostinil 1 MG/ML Injectable Solution",10000081,"Abdominal pain"
349407,"treprostinil 1 MG/ML Injectable Solution",10012735,Diarrhoea
349407,"treprostinil 1 MG/ML Injectable Solution",10028813,Nausea
349407,"treprostinil 1 MG/ML Injectable Solution",10021097,Hypotension
349407,"treprostinil 1 MG/ML Injectable Solution",10033557,Palpitations
349407,"treprostinil 1 MG/ML Injectable Solution",10016825,Flushing
349407,"treprostinil 1 MG/ML Injectable Solution",10025421,Macule
349407,"treprostinil 1 MG/ML Injectable Solution",10037549,Purpura
349407,"treprostinil 1 MG/ML Injectable Solution",10010719,"Conjunctival haemorrhage"
349407,"treprostinil 1 MG/ML Injectable Solution",10027514,Metrorrhagia
349407,"treprostinil 1 MG/ML Injectable Solution",10015090,Epistaxis
