meddra_id,meddra_name,meddra_term_type
10000021,"21-hydroxylase deficiency",PT
10000045,"Abdomen enlarged",LLT
10000050,"Abdominal adhesions",PT
10000054,"Abdominal aortic aneurysm",LLT
10000055,"Abdominal colic",LLT
10000056,"Abdominal cramp",LLT
10000057,"Abdominal cramps",LLT
10000059,"Abdominal discomfort",PT
10000060,"Abdominal distension",PT
10000062,"Abdominal distress",LLT
10000064,"Abdominal flaccidity",LLT
10000065,"Abdominal fullness",LLT
10000077,"Abdominal mass",PT
10000079,"Abdominal noises",LLT
10000081,"Abdominal pain",PT
10000084,"Abdominal pain lower",PT
10000085,"Abdominal pain NOS",LLT
10000087,"Abdominal pain upper",PT
10000090,"Abdominal rigidity",PT
10000097,"Abdominal tenderness",PT
10000112,"Abducent nerve paralysis",LLT
10000125,"Abnormal dreams",PT
10000128,"Abnormal ejaculation",LLT
10000133,"Abnormal faeces",PT
10000134,"Abnormal feces",LLT
10000136,"Abnormal gait",LLT
10000147,"Abnormal hair growth",LLT
10000152,"Abnormal labor",LLT
10000153,"Abnormal labour",PT
10000154,"Abnormal labour affecting foetus",PT
10000159,"Abnormal loss of weight",PT
10000164,"Abnormal pigment",LLT
10000165,"Abnormal pigmentation",LLT
10000173,"Abnormal sensation in eye",PT
10000181,"Abnormal stools",LLT
10000182,"Abnormal thinking",LLT
10000186,"Abnormal vision",LLT
10000188,"Abnormal weight gain",PT
10000197,"Abnormality of accommodation",LLT
10000210,Abortion,PT
10000230,"Abortion missed",PT
10000234,"Abortion spontaneous",PT
10000242,"Abortion threatened",PT
10000245,"Abrasion NOS",LLT
10000269,Abscess,PT
10000317,"Abscess sterile",PT
10000320,"Abscesses of skin",LLT
10000349,Acanthosis,PT
10000358,"Accelerated hypertension",PT
10000359,"Accelerated sexual maturation",LLT
10000369,Accident,PT
10000375,"Accident household",LLT
10000377,"Accident NOS",LLT
10000380,"Accidental injury",LLT
10000381,"Accidental overdose",PT
10000385,"Accommodation abnormal",LLT
10000389,"Accommodation disorder",PT
10000419,Acetonuria,LLT
10000424,Ache,LLT
10000441,"Achilles tendonitis",LLT
10000449,"Aching joints",LLT
10000452,Achondroplasia,LLT
10000486,Acidosis,PT
10000489,"Acidosis hyperchloraemic",PT
10000496,Acne,PT
10000503,"Acne cystic",PT
10000510,"Acne NOS",LLT
10000513,"Acne pustular",PT
10000514,"Acne rosacea",LLT
10000517,"Acne steroid-induced",LLT
10000519,"Acne vulgaris",LLT
10000520,"Acneiform dermatitis",LLT
10000559,"Acquired hypothyroidism",LLT
10000565,"Acquired immunodeficiency syndrome",PT
10000591,Acrochordon,PT
10000592,Acrocyanosis,LLT
10000599,Acromegaly,PT
10000614,"Actinic keratosis",PT
10000620,Actinomycosis,PT
10000647,"Acute abdomen",PT
10000648,"Acute acalculous cholecystitis",LLT
10000663,"Acute anaphylactic reaction",LLT
10000664,"Acute anaphylaxis",LLT
10000673,"Acute angle closure glaucoma",LLT
10000674,"Acute angle-closure glaucoma",LLT
10000677,"Acute appendicitis",LLT
10000685,"Acute brain syndrome",LLT
10000687,"Acute bronchitis",LLT
10000691,"Acute cholecystitis",LLT
10000695,"Acute conjunctivitis",LLT
10000709,"Acute disseminated encephalomyelitis",PT
10000743,"Acute exacerbation of chronic bronchitis",LLT
10000748,"Acute febrile neutrophilic dermatosis",PT
10000769,"Acute gastritis",LLT
10000804,"Acute hepatic failure",PT
10000819,"Acute interstitial nephritis",LLT
10000821,"Acute kidney failure",LLT
10000830,"Acute leukaemia",PT
10000835,"Acute leukemia",LLT
10000842,"Acute lymphatic leukaemia",LLT
10000844,"Acute lymphoblastic leukaemia",LLT
10000846,"Acute lymphocytic leukaemia",PT
10000848,"Acute lymphocytic leukemia",LLT
10000880,"Acute myeloid leukaemia",PT
10000886,"Acute myeloid leukemia",LLT
10000891,"Acute myocardial infarction",PT
10000971,"Acute pancreatitis",LLT
10000996,"Acute pericarditis",LLT
10001017,"Acute prerenal failure",LLT
10001019,"Acute promyelocytic leukaemia",PT
10001020,"Acute promyelocytic leukemia",LLT
10001022,"Acute psychosis",PT
10001023,"Acute psychotic reaction",LLT
10001024,"Acute pulmonary edema",LLT
10001029,"Acute pulmonary oedema",PT
10001041,"Acute renal failure",LLT
10001052,"Acute respiratory distress syndrome",PT
10001053,"Acute respiratory failure",PT
10001055,"Acute retention of urine",LLT
10001076,"Acute sinusitis",PT
10001093,"Acute tonsillitis",LLT
10001099,"Acute tubular necrosis",LLT
10001106,"Acute urticaria",LLT
10001112,"Adam-Stokes syndrome",LLT
10001115,"Adams-Stokes syndrome",PT
10001118,ADD,LLT
10001125,Addiction,LLT
10001130,"Addison's disease",PT
10001141,Adenocarcinoma,PT
10001229,"Adenoidal hypertrophy",PT
10001231,Adenoma,LLT
10001270,"ADH inappropriate",LLT
10001315,"Administration site reaction",PT
10001323,"Adrenal adenoma",PT
10001335,"Adrenal cortex insufficiency",LLT
10001344,"Adrenal cortical insufficiency",LLT
10001346,"Adrenal crisis",LLT
10001347,"Adrenal disorder",PT
10001361,"Adrenal haemorrhage",PT
10001363,"Adrenal hemorrhage",LLT
10001365,"Adrenal hypercorticism",LLT
10001367,"Adrenal insufficiency",PT
10001382,"Adrenal suppression",PT
10001387,"Adrenergic syndrome",PT
10001389,"Adrenocortical insufficiency acute",PT
10001409,"Adult respiratory distress syndrome",LLT
10001426,"Adynamic ileus",LLT
10001435,"Afebrile convulsion",LLT
10001443,"Affective disorder",PT
10001468,Aftersleeping,LLT
10001480,Ageusia,PT
10001484,"Aggravation of existing disorder",LLT
10001488,Aggression,PT
10001490,"Aggressive behaviour",LLT
10001493,"Aggressive reaction",LLT
10001494,Aggressiveness,LLT
10001495,Agitated,LLT
10001497,Agitation,PT
10001502,Agoraphobia,PT
10001507,Agranulocytosis,PT
10001509,AIDS,LLT
10001510,"AIDS dementia",LLT
10001526,"Air embolism",PT
10001530,"Air in intestines",LLT
10001538,"Airway secretion excessive",LLT
10001539,"Airways obstruction",LLT
10001540,Akathisia,PT
10001541,Akinesia,PT
10001580,Albuminuria,PT
10001584,"Alcohol abuse",PT
10001598,"Alcohol intolerance",PT
10001609,"Alcohol tolerance lowered",LLT
10001624,"Alcoholic hepatitis",LLT
10001627,"Alcoholic liver disease",PT
10001639,Alcoholism,PT
10001656,Aldosteronism,LLT
10001680,Alkalosis,PT
10001682,"Alkalosis hypochloraemic",PT
10001684,"Alkalosis hypokalaemic",PT
10001689,Alkaptonuria,PT
10001705,"Allergic asthma",LLT
10001706,"Allergic blepharitis",LLT
10001711,"Allergic dermatitis",LLT
10001715,"Allergic myocarditis",LLT
10001717,"Allergic rash",LLT
10001718,"Allergic reaction",LLT
10001723,"Allergic rhinitis",LLT
10001729,"Allergic skin reaction",LLT
10001736,"Allergic vasculitis",LLT
10001738,Allergy,LLT
10001739,"Allergy aggravated",LLT
10001760,Alopecia,PT
10001761,"Alopecia areata",PT
10001763,"Alopecia reversible",LLT
10001766,"Alopecia totalis",PT
10001850,"Altered mood",LLT
10001852,"Altered saliva",LLT
10001854,"Altered state of consciousness",PT
10001881,"Alveolar proteinosis",PT
10001889,Alveolitis,PT
10001890,"Alveolitis allergic",LLT
10001892,"Alveolitis fibrosing",LLT
10001896,"Alzheimer's disease",LLT
10001906,Amblyopia,PT
10001916,Amebiasis,LLT
10001927,Amenorrhea,LLT
10001928,Amenorrhoea,PT
10001936,Ametropia,LLT
10001939,Aminoaciduria,PT
10001949,Amnesia,PT
10001951,"Amnesia transient",LLT
10001971,"Amniotic fluid embolism",LLT
10001977,"Amniotic fluid embolus",LLT
10001986,"Amoebic dysentery",PT
10002022,Amyloidosis,PT
10002026,"Amyotrophic lateral sclerosis",PT
10002027,Amyotrophy,PT
10002034,Anaemia,PT
10002056,"Anaemia haemolytic, angiopathic",LLT
10002064,"Anaemia macrocytic",PT
10002065,"Anaemia megaloblastic",PT
10002074,"Anaemia of prematurity",LLT
10002088,Anaemic,LLT
10002091,Anaesthesia,PT
10002140,"Anal candidiasis",PT
10002153,"Anal fissure",PT
10002156,"Anal fistula",PT
10002176,"Anal stenosis",PT
10002180,"Anal ulcer",PT
10002198,"Anaphylactic reaction",PT
10002199,"Anaphylactic shock",PT
10002215,"Anaphylactoid purpura",LLT
10002216,"Anaphylactoid reaction",PT
10002218,Anaphylaxis,LLT
10002240,"Anaplastic thyroid cancer",PT
10002241,Anasarca,LLT
10002243,"Anastomotic ulcer",PT
10002261,"Androgen deficiency",PT
10002272,Anemia,LLT
10002274,"Anemia aplastic",LLT
10002320,Anencephaly,PT
10002321,Anesthesia,LLT
10002329,Aneurysm,PT
10002368,Anger,PT
10002369,Angiitis,LLT
10002382,"Angina on recumbency",LLT
10002383,"Angina pectoris",PT
10002384,"Angina pectoris aggravated",LLT
10002388,"Angina unstable",PT
10002390,"Anginal attack",LLT
10002391,"Anginal pain",LLT
10002424,Angioedema,PT
10002429,Angiofibroma,PT
10002449,"Angioimmunoblastic T-cell lymphoma",PT
10002459,Angioma,LLT
10002471,"Angioneurotic edema",LLT
10002473,"Angioneurotic oedema",LLT
10002483,Angiospasm,LLT
10002500,"Angle closure glaucoma",PT
10002505,"Angor animi",LLT
10002509,"Angular cheilitis",PT
10002510,"Angular stomatitis",LLT
10002512,Anhidrosis,PT
10002535,Anisocoria,PT
10002536,Anisocytosis,PT
10002546,"Ankle oedema",LLT
10002553,"Ankle swelling",LLT
10002556,"Ankylosing spondylitis",PT
10002559,Ankylosis,LLT
10002643,"Anorectal cellulitis",PT
10002644,"Anorectal disorder",PT
10002646,Anorexia,LLT
10002652,Anorgasmia,PT
10002653,Anosmia,PT
10002658,Anovulation,LLT
10002687,"Anterior corneal pigmentations",LLT
10002711,"Anterograde amnesia",PT
10002713,Anthrax,PT
10002774,Antidiuresis,LLT
10002776,"Antidiuretic hormone abnormality",PT
10002847,Anuria,PT
10002851,"Anus discomfort",LLT
10002855,Anxiety,PT
10002865,"Anxiety reaction",LLT
10002882,"Aortic aneurysm",PT
10002895,"Aortic dissection",PT
10002906,"Aortic stenosis",PT
10002915,"Aortic valve incompetence",PT
10002921,Aortitis,PT
10002942,Apathy,PT
10002945,Aphakia,PT
10002948,Aphasia,PT
10002953,Aphonia,PT
10002955,Aphose,LLT
10002957,"Aphthous stoma",LLT
10002958,"Aphthous stomatitis",LLT
10002959,"Aphthous ulcer",PT
10002962,"Aplasia bone marrow",LLT
10002965,"Aplasia pure red cell",PT
10002967,"Aplastic anaemia",PT
10002969,"Aplastic anemia",LLT
10002972,Apnea,LLT
10002974,Apnoea,PT
10002977,"Apnoeic attack",PT
10003004,Apoplexy,LLT
10003011,Appendicitis,PT
10003020,"Appetite decreased NOS",LLT
10003025,"Appetite impaired",LLT
10003028,"Appetite lost",LLT
10003035,"Application site atrophy",PT
10003036,"Application site dermatitis",PT
10003040,"Application site edema",LLT
10003041,"Application site erythema",PT
10003046,"Application site irritation",PT
10003050,"Application site oedema",PT
10003051,"Application site pain",PT
10003052,"Application site pigmentation changes",LLT
10003053,"Application site pruritus",PT
10003054,"Application site rash",PT
10003055,"Application site reaction",PT
10003059,"Application site ulcer",PT
10003060,"Application site warmth",PT
10003061,Apprehension,LLT
10003062,Apraxia,PT
10003068,Aptyalism,LLT
10003074,Arachnoiditis,PT
10003076,ARC,LLT
10003083,ARDS,LLT
10003084,Areflexia,PT
10003118,"Arrested labour",PT
10003119,Arrhythmia,PT
10003130,"Arrhythmia supraventricular",PT
10003142,"Arterial aneurysm",LLT
10003159,"Arterial embolism limb",LLT
10003175,"Arterial spasm",PT
10003178,"Arterial thrombosis",PT
10003180,"Arterial thrombosis limb",LLT
10003192,"Arteriovenous fistula thrombosis",PT
10003209,Arteriopathy,LLT
10003210,Arteriosclerosis,PT
10003211,"Arteriosclerosis coronary artery",PT
10003223,Arteriospasm,LLT
10003225,"Arteriospasm coronary",PT
10003226,"Arteriovenous fistula",PT
10003230,Arteritis,PT
10003239,Arthralgia,PT
10003240,"Arthralgia aggravated",LLT
10003246,Arthritis,PT
10003247,"Arthritis aggravated",LLT
10003263,"Arthritis NOS",LLT
10003267,"Arthritis reactive",PT
10003285,Arthropathy,PT
10003416,Arthrosis,LLT
10003439,"Artificial menopause",PT
10003445,Ascites,PT
10003458,"Aseptic meningitis",LLT
10003459,"Aseptic necrosis",LLT
10003487,Aspergilloma,PT
10003488,Aspergillosis,LLT
10003490,"Aspergillosis pharyngeal",LLT
10003495,Aspermia,PT
10003497,Asphyxia,PT
